FIPS_N,Issuer,Tax_Supported_Debt,Revenue_Supported_Debt,Lease_Purchase_Obligations,Total_Debt_Outstanding, County_Population ,Debt_per_capita,Total_Debt_Outstanding_per_capitastr,Link,Text_for_link
48225,Houston,"$12,490,000",$0,$0,"$12,490,000"," 23,161 ",539,$539,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48227,Howard,"$11,085,000",$0,$0,"$11,085,000"," 35,408 ",313,$313,http://www.texastransparency.org/Special_Features/Debt_at_a_Glance/County.php?countyname=Howard+County&countysubmit=GO,View Debt Profile
48229,Hudspeth,$0,$0,"$19,145,000","$19,145,000"," 3,337 ",5737,"$5,737",http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48231,Hunt,"$6,805,000",$0,$0,"$6,805,000"," 87,079 ",78,$78,http://www.texastransparency.org/Special_Features/Debt_at_a_Glance/County.php?Countyname=Hunt+County&countysubmit=GO,View Debt Profile
48233,Hutchinson,$0,$0,$0,$0," 21,922 ",0,$0,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48235,Irion,$0,$0,$0,$0," 1,573 ",0,$0,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48237,Jack,"$5,860,000",$0,$0,"$5,860,000"," 8,983 ",652,$652,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48239,Jackson,$0,$0,$0,$0," 14,255 ",0,$0,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48241,Jasper,"$1,650,000",$0,$0,"$1,650,000"," 35,923 ",46,$46,http://www.texastransparency.org/Special_Features/Debt_at_a_Glance/County.php?countyname=Jasper+County&countysubmit=GO,View Debt Profile
48243,Jeff Davis,$0,$0,$0,$0," 2,307 ",0,$0,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48245,Jefferson,"$53,270,000",$0,$0,"$53,270,000"," 251,813 ",212,$212,http://www.texastransparency.org/Special_Features/Debt_at_a_Glance/County.php?Countyname=Jefferson+County&countysubmit=GO,View Debt Profile
48247,Jim Hogg,"$1,767,000",$0,$0,"$1,767,000"," 5,249 ",337,$337,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48249,Jim Wells,"$2,345,000",$0,$0,"$2,345,000"," 41,754 ",56,$56,http://www.texastransparency.org/Special_Features/Debt_at_a_Glance/County.php?countyname=Jim+Wells+County&countysubmit=GO,View Debt Profile
48251,Johnson,"$12,519,579",$0,$0,"$12,519,579"," 153,441 ",82,$82,http://www.texastransparency.org/Special_Features/Debt_at_a_Glance/County.php?Countyname=Johnson+County&countysubmit=GO,View Debt Profile
48253,Jones,"$6,900,000",$0,"$35,720,000","$42,620,000"," 19,973 ",2134,"$2,134",http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48255,Karnes,"$2,890,000",$0,$0,"$2,890,000"," 15,233 ",190,$190,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48257,Kaufman,"$13,960,000",$0,$0,"$13,960,000"," 106,753 ",131,$131,http://www.texastransparency.org/Special_Features/Debt_at_a_Glance/County.php?Countyname=Kaufman+County&countysubmit=GO,View Debt Profile
48259,Kendall,"$7,410,000",$0,$0,"$7,410,000"," 35,956 ",206,$206,http://www.texastransparency.org/Special_Features/Debt_at_a_Glance/County.php?countyname=Kendall+County&countysubmit=GO,View Debt Profile
48261,Kenedy,$0,$0,$0,$0, 431 ,0,$0,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48263,Kent,$0,$0,$0,$0, 839 ,0,$0,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48265,Kerr,"$10,990,000",$0,$0,"$10,990,000"," 49,786 ",221,$221,http://www.texastransparency.org/Special_Features/Debt_at_a_Glance/County.php?countyname=Kerr+County&countysubmit=GO,View Debt Profile
48267,Kimble,$0,$0,$0,$0," 4,560 ",0,$0,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48269,King,$0,$0,$0,$0, 276 ,0,$0,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48271,Kinney,$0,$0,"$8,905,000","$8,905,000"," 3,603 ",2472,"$2,472",http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48273,Kleberg,"$5,425,000",$0,$0,"$5,425,000"," 32,025 ",169,$169,http://www.texastransparency.org/Special_Features/Debt_at_a_Glance/County.php?countyname=Kleberg+County&countysubmit=GO,View Debt Profile
48275,Knox,$0,$0,$0,$0," 3,789 ",0,$0,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48283,La Salle,"$11,120,000",$0,"$21,790,000","$32,910,000"," 7,109 ",4629,"$4,629",http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48277,Lamar,"$4,816,243",$0,$0,"$4,816,243"," 49,811 ",97,$97,http://www.texastransparency.org/Special_Features/Debt_at_a_Glance/County.php?countyname=Lamar+County&countysubmit=GO,View Debt Profile
48279,Lamb,$0,$0,$0,$0," 14,008 ",0,$0,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48281,Lampasas,"$6,230,000",$0,$0,"$6,230,000"," 20,107 ",310,$310,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48285,Lavaca,"$2,680,000",$0,$0,"$2,680,000"," 19,468 ",138,$138,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48287,Lee,"$8,925,000",$0,$0,"$8,925,000"," 16,601 ",538,$538,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
